siteID,year,GPPobs
1,1,NA
1,2,NA
1,3,NA
1,4,NA
1,5,NA
1,6,NA
1,7,NA
1,8,NA
1,9,NA
1,10,NA
1,11,NA
1,12,NA
1,13,NA
1,14,NA
1,15,NA
1,16,545.841079
1,17,396.7973071
1,18,544.9822127
1,19,NA
1,20,NA
2,1,1457.59794
2,2,1330.963753
2,3,1330.484891
2,4,1350.541455
2,5,1098.085527
2,6,1273.787137
2,7,NA
2,8,NA
2,9,NA
2,10,NA
2,11,NA
2,12,NA
2,13,NA
2,14,NA
2,15,NA
2,16,NA
2,17,NA
2,18,NA
2,19,NA
2,20,NA
3,1,934.0725254
3,2,925.7565615
3,3,889.3663949
3,4,1112.214196
3,5,1308.176532
3,6,NA
3,7,NA
3,8,NA
3,9,NA
3,10,NA
3,11,NA
3,12,NA
3,13,NA
3,14,NA
3,15,NA
3,16,NA
3,17,NA
3,18,NA
3,19,NA
3,20,NA
4,1,374.9786828
4,2,509.4905714
4,3,NA
4,4,NA
4,5,NA
4,6,NA
4,7,NA
4,8,NA
4,9,NA
4,10,NA
4,11,NA
4,12,NA
4,13,NA
4,14,NA
4,15,NA
4,16,NA
4,17,NA
4,18,NA
4,19,NA
4,20,NA
5,1,1071.652945
5,2,1236.621452
5,3,1131.784708
5,4,1283.788096
5,5,1185.407767
5,6,1225.789498
5,7,1204.033982
5,8,1232.529849
5,9,1208.376847
5,10,1152.446312
5,11,1305.265709
5,12,1195.325924
5,13,NA
5,14,NA
5,15,NA
5,16,NA
5,17,NA
5,18,NA
5,19,NA
5,20,NA
